person_id,clicks,median_ms,p25_ms,p75_ms,iqr_ms,sd_ms,mean_ms,typical_range
7aa96fe8-020a-50c4-82d7-2e6d77129a06,10,93.5,75.2,121.5,46.2,44.8,107.2,normal
bd69a0df-2c15-5f3b-8e4c-86e609825b0b,10,123.5,108.8,128.5,19.8,548.5,379.9,deliberative
8ab6ff4d-e365-5fe4-a587-af7e13350b76,10,133.5,117.2,152.8,35.5,21.9,138.6,deliberative
cb6a927d-9681-569c-9531-2d7f8abad98b,10,114.5,100.2,125.5,25.2,13.8,114.9,normal
32820a2a-b735-5034-9df6-250ab697cf15,10,116.0,91.8,142.0,50.2,36.7,114.6,normal
a99712ca-18f5-5afd-8913-0cf820f15ce1,10,118.5,81.5,650.8,569.2,534.5,423.8,normal
ba26a809-ebb9-5ca2-ad43-486099650f4c,10,100.0,74.2,103.8,29.5,21.5,96.1,normal
5b8f8f20-4459-5e19-8435-d13b7ff55845,10,117.0,116.0,129.8,13.8,17.5,116.4,normal
6a350aca-8887-5376-9c02-a554998ba172,10,159.5,149.5,167.0,17.5,24.1,151.9,deliberative
cdd200ff-0d7d-5588-b688-af823080848a,10,136.0,122.0,150.8,28.8,41.1,121.5,deliberative
4da68ea6-f313-5dfe-9328-55bbb9bb5dc0,10,109.0,96.5,151.5,55.0,32.7,119.5,normal
c8a22ea1-fe9e-5b13-a976-22e8b95e0bdf,10,106.0,96.2,130.8,34.5,323.9,212.2,normal
cc8c133e-760e-5388-b68b-5d18551b591b,10,139.5,133.0,141.8,8.8,25.7,134.7,deliberative
e842ecfe-9a2a-531a-a8b4-36072d5c0084,10,141.0,130.5,151.0,20.5,14.4,137.5,deliberative
ed02e0b8-4331-5066-8303-205f95ebfe48,10,132.0,108.2,155.5,47.2,25.8,132.8,deliberative
2ee6be16-db9e-5b8a-9c52-b4242e8678fc,10,134.0,133.0,135.0,2.0,20.2,128.4,deliberative
9062cc1e-8bac-500d-bc37-5d56ea3f403e,10,120.5,105.0,125.0,20.0,13.9,119.2,deliberative
56e854b0-d0b4-53cd-8a18-322128773618,10,128.0,94.8,146.8,52.0,38.8,125.0,deliberative
90d1e1ff-9004-5a35-8e0e-8e79a4915bff,10,133.5,116.2,137.5,21.2,17.2,126.3,deliberative
073391d9-7a0e-527f-bc25-875b5f1ae32a,10,140.5,93.2,432.0,338.8,260.0,300.6,deliberative
91f8c409-9d40-5fe8-8343-e3b6cba95961,10,101.5,79.0,112.8,33.8,18.2,99.2,normal
45b77df3-190a-5570-97f4-6a8903233385,10,107.5,85.0,109.8,24.8,14.4,101.1,normal
f9576a49-cdb3-5d42-b051-2c2eace7952b,10,116.5,99.5,120.5,21.0,30.9,103.6,normal
c1b56f37-abdf-5d27-9c81-a6d6d77763a7,10,143.0,141.0,150.5,9.5,29.7,133.6,deliberative
6a4e57f5-37eb-538e-8b04-48d1fbcd8682,10,142.0,122.2,150.0,27.8,19.4,133.0,deliberative
54e9fea1-3f65-5e16-a39c-f4b94e0e1ea6,10,129.5,116.5,134.8,18.2,17.0,126.3,deliberative
f7e09ced-d9d0-58ff-9d6a-fc83c8ec9f5e,10,102.0,99.5,116.8,17.2,16.6,102.0,normal
ad718654-c956-563b-8a4c-e4c1c83ef3a5,10,90.5,67.2,95.8,28.5,16.5,82.7,normal
dd4d448d-e424-5301-b354-90a455eb3cf1,10,134.0,117.5,153.8,36.2,17.7,135.5,deliberative
8420326f-974c-596b-bf98-f7a85d350c92,10,97.5,91.5,108.5,17.0,13.3,97.5,normal
b27e9318-352c-5468-9ce3-c168fe25663a,10,92.0,83.2,93.8,10.5,28.2,97.3,normal
8d8dd38a-0e61-5327-be80-cdef2c6cc9f1,10,159.0,133.2,164.8,31.5,38.4,137.9,deliberative
fe09d86b-b7cb-5069-a1be-5a75138b197f,10,125.0,108.2,134.5,26.2,22.7,120.4,deliberative
316d8487-bd7a-5e39-a118-08deec70d88e,10,101.0,100.2,131.8,31.5,20.5,116.4,normal
24fa061c-7d84-5cc9-9d88-6f777690f78e,10,134.0,133.0,149.8,16.8,167.2,215.9,deliberative
9b101237-af99-5062-b792-068ef849315b,10,124.0,101.0,138.8,37.8,46.2,137.1,deliberative
0c973059-b41b-5f09-9472-692ec1d69aec,10,167.5,165.2,168.0,2.8,28.3,176.8,extended
fe481794-9b70-57d8-b546-25c862b040f0,10,150.5,116.5,158.8,42.2,22.7,139.1,deliberative
98365c08-4dc4-5930-9db1-b2d1499dae8a,10,106.0,103.5,115.5,12.0,34.5,100.7,normal
05007f1c-8cd4-5d3a-9f60-71b857fb3825,10,133.0,133.0,133.0,0.0,15.2,134.5,deliberative
33ffac02-97e0-54c7-b9b7-d60551bd2764,10,133.5,108.2,139.5,31.2,23.6,123.1,deliberative
85a259d8-934a-5989-80c2-b424c1b029b3,9,106.0,100.0,120.0,20.0,18.9,111.6,normal
75b3158e-6a66-5482-9d7a-d293b593894a,9,89.0,78.0,114.0,36.0,26.4,99.3,normal
d985aadb-38f5-57b0-9944-ebd1ffe06d9d,9,118.0,103.0,145.0,42.0,50.2,120.3,normal
dd02dfc2-6ce2-58af-b812-fe5a94de6bfd,9,125.0,118.0,134.0,16.0,19.4,120.0,deliberative
439a3915-9d1f-5295-978e-f8d23bd187fa,9,116.0,102.0,133.0,31.0,19.3,115.9,normal
3f69bdc0-743b-52f4-a40f-1a52b9b8d9c4,9,116.0,110.0,116.0,6.0,16.4,113.6,normal
670f6fa6-9718-5e0f-ae42-59cb8309e26b,9,150.0,125.0,151.0,26.0,36.8,127.2,deliberative
e73392fc-6a15-5b87-872a-25a762016831,8,111.5,74.8,116.2,41.5,31.5,95.2,normal
39b336a2-1534-5d62-a705-75ae40181993,8,113.0,62.5,468.5,406.0,586.8,417.5,normal
93198bcf-2665-5f07-89f2-a06813d67129,8,133.0,132.0,133.0,1.0,0.7,132.8,deliberative
aad30028-5ce1-553d-bb24-748986e3ea75,8,98.5,87.2,106.0,18.8,13.2,95.1,normal
a262f940-a2ab-5e46-bafe-e0fd96b8a05f,8,126.5,115.8,133.0,17.2,21.5,118.1,deliberative
84168b40-de91-518a-8504-9818899fb023,8,91.5,83.0,105.8,22.8,21.2,97.9,normal
e188d970-1775-5d07-9a11-c5792c47bc77,8,103.5,87.5,124.0,36.5,34.7,108.0,normal
a286e843-ffda-5985-b663-9a68e63fe0e4,8,140.0,126.5,150.2,23.8,25.4,142.5,deliberative
af6a7f0a-8323-52bb-8ae3-e47883cb2dea,8,132.5,116.0,154.0,38.0,26.6,136.8,deliberative
bebf3ec0-3ff7-5d45-a0aa-df9bd6f15257,8,79.5,73.8,82.0,8.2,9.0,75.8,ballistic
a9c338d2-377d-5f84-ae4e-c8fd42776d66,8,96.5,89.5,102.2,12.8,8.7,95.9,normal
dcf0ee7f-93d1-5bac-92c0-39e25bdacef2,8,113.5,105.5,117.5,12.0,8.6,110.8,normal
8f69b02d-f0c3-50d6-ad71-6ca21d9a4863,8,107.5,80.2,137.0,56.8,31.8,109.6,normal
e4436e4b-a8b3-597e-97e2-79144d418801,8,96.0,91.0,105.8,14.8,10.9,100.1,normal
72b1ef31-b1e9-5330-a73b-100c4f702d6c,8,141.0,126.5,154.5,28.0,357.1,272.2,deliberative
6f2f117c-2159-5400-b1dd-b503f6b69d0f,8,90.0,78.0,103.2,25.2,18.0,90.0,normal
188d27fc-362d-51b2-a894-673e0240f9af,8,284.0,77.8,657.2,579.5,442.7,450.1,extended
e8e121be-0e6d-5260-9c63-f3551310fed7,8,172.0,149.8,179.0,29.2,33.2,156.6,extended
99b96eaf-dace-5902-9359-d9514fb69629,8,125.5,114.5,137.2,22.8,17.5,126.1,deliberative
cff08271-d9d4-5855-b153-cf1654c8d552,8,101.5,79.8,142.2,62.5,39.3,104.5,normal
3517dae3-f4ce-5ad7-9194-f48de56f0e0f,8,57.0,25.8,140.5,114.8,64.9,81.9,ballistic
756fb33e-e37b-5a62-8fdc-83323017eea4,8,94.0,89.8,107.5,17.8,12.0,96.1,normal
0d1aa341-c92d-5b3c-9410-5c0d77ae17a9,8,128.5,113.5,141.2,27.8,30.1,132.1,deliberative
2003e27d-ae90-5d06-9ae9-9536a55dfd22,8,112.5,99.2,122.8,23.5,25.1,109.4,normal
38537692-a836-51dd-b4fc-5dab84968e18,8,117.5,92.0,128.5,36.5,48.7,101.1,normal
000e265c-1035-523f-a16e-71a8e2090c8d,8,109.5,89.0,122.5,33.5,23.9,102.1,normal
